opportunity_id,account_id,account_name,segment,industry,account_region,rep_id,rep_name,lead_source,stage,amount,created_date,close_date,fiscal_quarter,is_won,is_closed,sales_cycle_days,won_amount,lost_amount,open_pipeline_amount
O00023,A0499,Account 0499,Mid-Market,Manufacturing,East,R023,Tatum Adeyemi,Event,Closed Lost,61800.0,2024-11-20,2025-01-26,2025-Q1,false,true,67,0.0,61800.0,0.0
O00024,A0366,Account 0366,Mid-Market,Energy,East,R006,Taylor Larsson,Inbound,Closed Lost,68500.0,2025-11-12,2026-03-12,2026-Q1,false,true,120,0.0,68500.0,0.0
O00025,A0182,Account 0182,Enterprise,Technology,West,R017,Parker Schmidt,Inbound,Closed Lost,352200.0,2025-08-09,2026-02-15,2026-Q1,false,true,190,0.0,352200.0,0.0
O00026,A0326,Account 0326,Mid-Market,Education,Central,R019,Blake Fischer,Inbound,Closed Lost,24500.0,2024-08-14,2024-12-09,2024-Q4,false,true,117,0.0,24500.0,0.0
O00027,A0080,Account 0080,SMB,Energy,East,R009,Drew Mbeki,Inbound,Closed Lost,5500.0,2024-12-21,2025-01-24,2025-Q1,false,true,34,0.0,5500.0,0.0
O00028,A0344,Account 0344,Enterprise,Logistics,West,R020,Elliot Mori,Outbound,Closed Lost,147100.0,2024-01-12,2024-06-17,2024-Q2,false,true,157,0.0,147100.0,0.0
O00029,A0111,Account 0111,Mid-Market,Education,West,R001,Avery Nguyen,Inbound,Closed Lost,45200.0,2024-02-19,2024-05-23,2024-Q2,false,true,94,0.0,45200.0,0.0
O00030,A0424,Account 0424,SMB,Education,East,R018,Sawyer Walsh,Outbound,Closed Won,11200.0,2025-01-22,2025-02-27,2025-Q1,true,true,36,11200.0,0.0,0.0
O00031,A0592,Account 0592,SMB,Financial Services,East,R024,Wren Park,Inbound,Closed Lost,9800.0,2024-08-18,2024-09-11,2024-Q3,false,true,24,0.0,9800.0,0.0
O00032,A0021,Account 0021,SMB,Energy,West,R012,Devon Costa,Outbound,Closed Won,4100.0,2024-09-24,2024-10-14,2024-Q4,true,true,20,4100.0,0.0,0.0
O00033,A0077,Account 0077,Mid-Market,Healthcare,West,R016,Logan Reyes,Outbound,Closed Lost,54800.0,2024-04-05,2024-07-02,2024-Q3,false,true,88,0.0,54800.0,0.0
O00034,A0032,Account 0032,SMB,Retail,Central,R015,Rowan Andersen,Inbound,Closed Lost,12100.0,2025-10-31,2025-11-24,2025-Q4,false,true,24,0.0,12100.0,0.0
O00035,A0340,Account 0340,SMB,Energy,Central,R009,Drew Mbeki,Partner,Closed Lost,13500.0,2024-07-13,2024-08-22,2024-Q3,false,true,40,0.0,13500.0,0.0
O00036,A0272,Account 0272,Enterprise,Energy,West,R020,Elliot Mori,Outbound,Closed Lost,110700.0,2024-10-31,2025-03-30,2025-Q1,false,true,150,0.0,110700.0,0.0
O00037,A0503,Account 0503,SMB,Retail,West,R008,Quinn Kim,Event,Closed Won,3100.0,2024-02-25,2024-04-02,2024-Q2,true,true,37,3100.0,0.0,0.0
O00038,A0492,Account 0492,SMB,Education,Central,R009,Drew Mbeki,Referral,Closed Lost,6100.0,2024-04-09,2024-04-24,2024-Q2,false,true,15,0.0,6100.0,0.0
O00039,A0485,Account 0485,SMB,Retail,Central,R005,Morgan Okafor,Inbound,Closed Lost,10100.0,2024-11-11,2024-12-20,2024-Q4,false,true,39,0.0,10100.0,0.0
O00040,A0558,Account 0558,Mid-Market,Technology,East,R013,Hayden Novak,Outbound,Closed Lost,72900.0,2024-07-08,2024-10-08,2024-Q4,false,true,92,0.0,72900.0,0.0
O00041,A0270,Account 0270,Enterprise,Financial Services,East,R020,Elliot Mori,Inbound,Closed Lost,152400.0,2025-04-21,2025-09-25,2025-Q3,false,true,157,0.0,152400.0,0.0
O00042,A0100,Account 0100,Mid-Market,Retail,Central,R003,Riley Garcia,Inbound,Closed Lost,68100.0,2025-11-15,2026-02-12,2026-Q1,false,true,89,0.0,68100.0,0.0
O00043,A0063,Account 0063,SMB,Education,Central,R015,Rowan Andersen,Referral,Closed Lost,17500.0,2025-06-19,2025-07-29,2025-Q3,false,true,40,0.0,17500.0,0.0
O00044,A0587,Account 0587,SMB,Logistics,West,R009,Drew Mbeki,Partner,Closed Lost,4200.0,2025-05-02,2025-06-04,2025-Q2,false,true,33,0.0,4200.0,0.0
O00045,A0515,Account 0515,Enterprise,Energy,West,R017,Parker Schmidt,Referral,Closed Lost,135300.0,2024-05-03,2024-11-23,2024-Q4,false,true,204,0.0,135300.0,0.0
O00046,A0198,Account 0198,Enterprise,Financial Services,West,R017,Parker Schmidt,Inbound,Closed Lost,105100.0,2024-02-13,2024-08-29,2024-Q3,false,true,198,0.0,105100.0,0.0
O00047,A0152,Account 0152,SMB,Energy,West,R022,Shay Volkov,Inbound,Closed Lost,16700.0,2024-09-21,2024-10-25,2024-Q4,false,true,34,0.0,16700.0,0.0
O00048,A0398,Account 0398,SMB,Education,Central,R021,Marlowe Silva,Outbound,Closed Won,7900.0,2025-02-10,2025-03-31,2025-Q1,true,true,49,7900.0,0.0,0.0
O00049,A0013,Account 0013,SMB,Manufacturing,East,R022,Shay Volkov,Inbound,Closed Won,14700.0,2025-08-24,2025-10-10,2025-Q4,true,true,47,14700.0,0.0,0.0
O00050,A0581,Account 0581,SMB,Healthcare,West,R022,Shay Volkov,Inbound,Closed Lost,16900.0,2025-08-19,2025-09-08,2025-Q3,false,true,20,0.0,16900.0,0.0
O00051,A0293,Account 0293,Mid-Market,Retail,East,R016,Logan Reyes,Outbound,Closed Lost,34400.0,2024-12-18,2025-03-25,2025-Q1,false,true,97,0.0,34400.0,0.0
O00052,A0485,Account 0485,SMB,Retail,Central,R002,Jordan Patel,Partner,Closed Lost,9000.0,2024-06-25,2024-07-26,2024-Q3,false,true,31,0.0,9000.0,0.0
O00053,A0412,Account 0412,Enterprise,Logistics,East,R017,Parker Schmidt,Outbound,Closed Won,301000.0,2025-02-09,2025-08-02,2025-Q3,true,true,174,301000.0,0.0,0.0
O00054,A0276,Account 0276,Mid-Market,Healthcare,Central,R010,Reese Dubois,Inbound,Closed Lost,68700.0,2024-01-21,2024-04-18,2024-Q2,false,true,88,0.0,68700.0,0.0
O00055,A0504,Account 0504,Mid-Market,Financial Services,East,R023,Tatum Adeyemi,Outbound,Closed Lost,26300.0,2024-04-10,2024-06-23,2024-Q2,false,true,74,0.0,26300.0,0.0
O00056,A0329,Account 0329,Enterprise,Financial Services,Central,R020,Elliot Mori,Event,Closed Lost,140100.0,2025-03-02,2025-06-22,2025-Q2,false,true,112,0.0,140100.0,0.0
O00057,A0497,Account 0497,SMB,Energy,East,R021,Marlowe Silva,Inbound,Closed Won,10700.0,2025-01-17,2025-02-03,2025-Q1,true,true,17,10700.0,0.0,0.0
O00058,A0519,Account 0519,SMB,Manufacturing,Central,R015,Rowan Andersen,Inbound,Closed Won,16200.0,2024-05-18,2024-07-04,2024-Q3,true,true,47,16200.0,0.0,0.0
O00059,A0206,Account 0206,Mid-Market,Retail,West,R001,Avery Nguyen,Partner,Closed Lost,46300.0,2024-09-12,2024-10-31,2024-Q4,false,true,49,0.0,46300.0,0.0
O00060,A0281,Account 0281,SMB,Technology,West,R012,Devon Costa,Partner,Closed Lost,9000.0,2025-04-20,2025-06-05,2025-Q2,false,true,46,0.0,9000.0,0.0
O00061,A0248,Account 0248,Mid-Market,Financial Services,Central,R010,Reese Dubois,Outbound,Closed Lost,29000.0,2025-05-15,2025-08-25,2025-Q3,false,true,102,0.0,29000.0,0.0
O00062,A0359,Account 0359,SMB,Technology,Central,R012,Devon Costa,Inbound,Closed Lost,14200.0,2024-06-16,2024-07-16,2024-Q3,false,true,30,0.0,14200.0,0.0
O00063,A0396,Account 0396,Enterprise,Technology,East,R017,Parker Schmidt,Inbound,Closed Lost,329500.0,2024-06-15,2025-02-06,2025-Q1,false,true,236,0.0,329500.0,0.0
O00064,A0231,Account 0231,Enterprise,Education,West,R017,Parker Schmidt,Referral,Closed Lost,244200.0,2024-10-02,2025-04-14,2025-Q2,false,true,194,0.0,244200.0,0.0
O00065,A0010,Account 0010,SMB,Healthcare,East,R018,Sawyer Walsh,Inbound,Closed Lost,5600.0,2024-05-15,2024-07-09,2024-Q3,false,true,55,0.0,5600.0,0.0
O00066,A0313,Account 0313,SMB,Manufacturing,West,R024,Wren Park,Outbound,Closed Lost,16400.0,2024-10-08,2024-11-18,2024-Q4,false,true,41,0.0,16400.0,0.0
O00067,A0224,Account 0224,Mid-Market,Education,East,R014,Emerson Ibrahim,Inbound,Closed Lost,69100.0,2024-11-05,2025-02-24,2025-Q1,false,true,111,0.0,69100.0,0.0
O00068,A0524,Account 0524,Enterprise,Financial Services,Central,R020,Elliot Mori,Partner,Negotiation,175500.0,2025-07-28,,2025-Q3,false,false,,0.0,0.0,175500.0
O00069,A0284,Account 0284,Mid-Market,Financial Services,West,R007,Casey Rossi,Event,Prospecting,29700.0,2025-11-02,,2025-Q4,false,false,,0.0,0.0,29700.0
O00070,A0414,Account 0414,SMB,Logistics,West,R024,Wren Park,Outbound,Closed Won,5100.0,2024-11-23,2025-01-19,2025-Q1,true,true,57,5100.0,0.0,0.0
O00071,A0303,Account 0303,SMB,Energy,Central,R011,Sky Haddad,Partner,Closed Won,8800.0,2025-03-04,2025-04-12,2025-Q2,true,true,39,8800.0,0.0,0.0
O00072,A0586,Account 0586,Enterprise,Retail,East,R017,Parker Schmidt,Outbound,Closed Lost,299600.0,2024-12-17,2025-05-12,2025-Q2,false,true,146,0.0,299600.0,0.0
O00073,A0368,Account 0368,SMB,Education,West,R021,Marlowe Silva,Inbound,Closed Lost,15600.0,2024-11-03,2024-11-27,2024-Q4,false,true,24,0.0,15600.0,0.0
O00074,A0100,Account 0100,Mid-Market,Retail,Central,R014,Emerson Ibrahim,Referral,Closed Lost,63000.0,2024-05-11,2024-07-28,2024-Q3,false,true,78,0.0,63000.0,0.0
O00075,A0344,Account 0344,Enterprise,Logistics,West,R017,Parker Schmidt,Outbound,Closed Lost,151500.0,2024-08-15,2025-02-11,2025-Q1,false,true,180,0.0,151500.0,0.0
O00076,A0340,Account 0340,SMB,Energy,Central,R012,Devon Costa,Outbound,Closed Lost,7400.0,2024-09-23,2024-11-13,2024-Q4,false,true,51,0.0,7400.0,0.0
O00077,A0598,Account 0598,SMB,Education,West,R022,Shay Volkov,Inbound,Closed Won,10100.0,2025-09-27,2025-10-15,2025-Q4,true,true,18,10100.0,0.0,0.0
O00078,A0391,Account 0391,Mid-Market,Manufacturing,West,R016,Logan Reyes,Inbound,Closed Lost,21400.0,2024-11-01,2025-02-06,2025-Q1,false,true,97,0.0,21400.0,0.0
O00079,A0206,Account 0206,Mid-Market,Retail,West,R010,Reese Dubois,Inbound,Closed Lost,73400.0,2025-02-23,2025-06-20,2025-Q2,false,true,117,0.0,73400.0,0.0
O00080,A0185,Account 0185,SMB,Technology,East,R005,Morgan Okafor,Partner,Closed Won,12500.0,2025-05-14,2025-06-18,2025-Q2,true,true,35,12500.0,0.0,0.0
O00081,A0005,Account 0005,Enterprise,Energy,West,R020,Elliot Mori,Event,Closed Won,323600.0,2024-10-07,2025-02-27,2025-Q1,true,true,143,323600.0,0.0,0.0
O00082,A0502,Account 0502,SMB,Retail,Central,R005,Morgan Okafor,Outbound,Closed Lost,9500.0,2024-05-12,2024-07-04,2024-Q3,false,true,53,0.0,9500.0,0.0
O00083,A0489,Account 0489,SMB,Logistics,East,R015,Rowan Andersen,Referral,Closed Lost,11000.0,2024-01-05,2024-01-21,2024-Q1,false,true,16,0.0,11000.0,0.0
O00084,A0330,Account 0330,SMB,Manufacturing,West,R021,Marlowe Silva,Inbound,Closed Lost,13200.0,2024-07-14,2024-07-29,2024-Q3,false,true,15,0.0,13200.0,0.0
O00085,A0353,Account 0353,Mid-Market,Financial Services,West,R007,Casey Rossi,Inbound,Closed Lost,41800.0,2024-05-12,2024-07-09,2024-Q3,false,true,58,0.0,41800.0,0.0
O00086,A0047,Account 0047,SMB,Retail,East,R011,Sky Haddad,Inbound,Closed Lost,13900.0,2024-10-24,2024-12-06,2024-Q4,false,true,43,0.0,13900.0,0.0
O00087,A0138,Account 0138,Mid-Market,Technology,Central,R010,Reese Dubois,Referral,Closed Won,64500.0,2025-05-16,2025-08-14,2025-Q3,true,true,90,64500.0,0.0,0.0
O00088,A0414,Account 0414,SMB,Logistics,West,R002,Jordan Patel,Partner,Closed Won,13900.0,2024-08-21,2024-09-18,2024-Q3,true,true,28,13900.0,0.0,0.0
O00089,A0517,Account 0517,Mid-Market,Energy,Central,R004,Cameron Cohen,Outbound,Closed Lost,62100.0,2024-05-06,2024-08-05,2024-Q3,false,true,91,0.0,62100.0,0.0
O00090,A0262,Account 0262,SMB,Retail,East,R021,Marlowe Silva,Inbound,Closed Won,11900.0,2025-09-30,2025-10-17,2025-Q4,true,true,17,11900.0,0.0,0.0
O00091,A0021,Account 0021,SMB,Energy,West,R002,Jordan Patel,Inbound,Closed Won,9700.0,2024-04-28,2024-06-07,2024-Q2,true,true,40,9700.0,0.0,0.0
O00092,A0157,Account 0157,SMB,Retail,East,R009,Drew Mbeki,Partner,Closed Lost,7500.0,2025-10-07,2025-10-21,2025-Q4,false,true,14,0.0,7500.0,0.0
O00093,A0277,Account 0277,SMB,Energy,East,R022,Shay Volkov,Inbound,Closed Lost,5100.0,2025-09-12,2025-11-09,2025-Q4,false,true,58,0.0,5100.0,0.0
O00094,A0121,Account 0121,SMB,Technology,West,R011,Sky Haddad,Event,Closed Lost,10500.0,2024-04-26,2024-05-16,2024-Q2,false,true,20,0.0,10500.0,0.0
O00095,A0536,Account 0536,Mid-Market,Financial Services,East,R006,Taylor Larsson,Outbound,Closed Won,36300.0,2025-01-01,2025-04-08,2025-Q2,true,true,97,36300.0,0.0,0.0
O00096,A0213,Account 0213,SMB,Technology,Central,R018,Sawyer Walsh,Referral,Closed Lost,3000.0,2024-12-04,2025-01-02,2025-Q1,false,true,29,0.0,3000.0,0.0
O00097,A0588,Account 0588,Mid-Market,Healthcare,Central,R023,Tatum Adeyemi,Inbound,Closed Lost,76900.0,2025-05-20,2025-07-23,2025-Q3,false,true,64,0.0,76900.0,0.0
O00098,A0104,Account 0104,SMB,Technology,East,R011,Sky Haddad,Inbound,Closed Lost,9900.0,2025-10-21,2025-11-18,2025-Q4,false,true,28,0.0,9900.0,0.0
O00099,A0052,Account 0052,SMB,Education,East,R005,Morgan Okafor,Partner,Closed Lost,15800.0,2024-06-27,2024-07-13,2024-Q3,false,true,16,0.0,15800.0,0.0
O00100,A0437,Account 0437,Enterprise,Energy,West,R017,Parker Schmidt,Partner,Closed Won,83100.0,2024-04-07,2024-07-17,2024-Q3,true,true,101,83100.0,0.0,0.0
O00101,A0337,Account 0337,SMB,Healthcare,Central,R012,Devon Costa,Outbound,Closed Lost,7000.0,2025-03-24,2025-05-16,2025-Q2,false,true,53,0.0,7000.0,0.0
O00102,A0351,Account 0351,Mid-Market,Retail,Central,R004,Cameron Cohen,Event,Closed Lost,42800.0,2024-04-26,2024-07-31,2024-Q3,false,true,96,0.0,42800.0,0.0
O00103,A0490,Account 0490,Mid-Market,Financial Services,West,R013,Hayden Novak,Inbound,Negotiation,25000.0,2025-10-26,,2025-Q4,false,false,,0.0,0.0,25000.0
O00104,A0427,Account 0427,SMB,Energy,West,R022,Shay Volkov,Outbound,Closed Won,13200.0,2025-05-09,2025-06-28,2025-Q2,true,true,50,13200.0,0.0,0.0
O00105,A0368,Account 0368,SMB,Education,West,R022,Shay Volkov,Event,Closed Lost,16200.0,2024-01-30,2024-03-27,2024-Q1,false,true,57,0.0,16200.0,0.0
O00106,A0495,Account 0495,SMB,Financial Services,West,R018,Sawyer Walsh,Partner,Closed Won,9600.0,2024-04-25,2024-06-04,2024-Q2,true,true,40,9600.0,0.0,0.0
O00107,A0013,Account 0013,SMB,Manufacturing,East,R024,Wren Park,Referral,Closed Won,13900.0,2025-06-21,2025-08-10,2025-Q3,true,true,50,13900.0,0.0,0.0
O00108,A0347,Account 0347,SMB,Retail,West,R021,Marlowe Silva,Partner,Closed Won,13500.0,2025-06-19,2025-08-16,2025-Q3,true,true,58,13500.0,0.0,0.0
O00109,A0255,Account 0255,SMB,Energy,East,R018,Sawyer Walsh,Event,Closed Lost,13100.0,2024-12-20,2025-02-14,2025-Q1,false,true,56,0.0,13100.0,0.0
O00110,A0572,Account 0572,SMB,Education,West,R022,Shay Volkov,Event,Closed Won,12700.0,2024-02-25,2024-03-10,2024-Q1,true,true,14,12700.0,0.0,0.0
O00111,A0508,Account 0508,Mid-Market,Manufacturing,East,R004,Cameron Cohen,Inbound,Closed Lost,37900.0,2024-03-17,2024-07-02,2024-Q3,false,true,107,0.0,37900.0,0.0
O00112,A0520,Account 0520,SMB,Financial Services,East,R009,Drew Mbeki,Inbound,Closed Lost,8700.0,2025-07-17,2025-09-10,2025-Q3,false,true,55,0.0,8700.0,0.0
O00113,A0455,Account 0455,Mid-Market,Manufacturing,West,R019,Blake Fischer,Inbound,Closed Lost,71100.0,2025-04-03,2025-05-29,2025-Q2,false,true,56,0.0,71100.0,0.0
O00114,A0510,Account 0510,SMB,Financial Services,West,R024,Wren Park,Outbound,Closed Won,9100.0,2024-01-19,2024-02-08,2024-Q1,true,true,20,9100.0,0.0,0.0
O00115,A0094,Account 0094,Enterprise,Manufacturing,West,R020,Elliot Mori,Outbound,Closed Lost,146200.0,2025-06-04,2026-01-23,2026-Q1,false,true,233,0.0,146200.0,0.0
O00116,A0056,Account 0056,Enterprise,Healthcare,West,R017,Parker Schmidt,Outbound,Closed Lost,259200.0,2025-04-10,2025-10-01,2025-Q4,false,true,174,0.0,259200.0,0.0
O00117,A0373,Account 0373,SMB,Logistics,Central,R018,Sawyer Walsh,Outbound,Closed Won,14400.0,2024-04-26,2024-05-16,2024-Q2,true,true,20,14400.0,0.0,0.0
O00118,A0299,Account 0299,SMB,Education,East,R021,Marlowe Silva,Inbound,Closed Won,13500.0,2025-06-18,2025-07-25,2025-Q3,true,true,37,13500.0,0.0,0.0
O00119,A0144,Account 0144,Enterprise,Manufacturing,East,R020,Elliot Mori,Referral,Closed Won,275500.0,2024-04-19,2024-09-21,2024-Q3,true,true,155,275500.0,0.0,0.0
O00120,A0403,Account 0403,SMB,Retail,East,R009,Drew Mbeki,Outbound,Closed Won,13800.0,2025-04-13,2025-05-09,2025-Q2,true,true,26,13800.0,0.0,0.0
O00121,A0127,Account 0127,SMB,Healthcare,West,R018,Sawyer Walsh,Referral,Closed Lost,11800.0,2025-04-13,2025-06-08,2025-Q2,false,true,56,0.0,11800.0,0.0
O00122,A0005,Account 0005,Enterprise,Energy,West,R017,Parker Schmidt,Referral,Closed Lost,348400.0,2025-07-20,2026-02-05,2026-Q1,false,true,200,0.0,348400.0,0.0
O00123,A0182,Account 0182,Enterprise,Technology,West,R017,Parker Schmidt,Event,Closed Lost,204000.0,2024-05-11,2024-09-04,2024-Q3,false,true,116,0.0,204000.0,0.0
O00124,A0517,Account 0517,Mid-Market,Energy,Central,R013,Hayden Novak,Referral,Closed Lost,35000.0,2025-03-04,2025-05-19,2025-Q2,false,true,76,0.0,35000.0,0.0
O00125,A0464,Account 0464,Enterprise,Education,West,R017,Parker Schmidt,Outbound,Closed Lost,272800.0,2024-05-21,2024-12-02,2024-Q4,false,true,195,0.0,272800.0,0.0
O00126,A0561,Account 0561,Enterprise,Logistics,Central,R020,Elliot Mori,Inbound,Closed Lost,144300.0,2025-07-20,2025-12-12,2025-Q4,false,true,145,0.0,144300.0,0.0
O00127,A0354,Account 0354,Mid-Market,Education,East,R023,Tatum Adeyemi,Inbound,Closed Lost,49200.0,2024-05-15,2024-07-21,2024-Q3,false,true,67,0.0,49200.0,0.0
O00128,A0119,Account 0119,SMB,Retail,Central,R012,Devon Costa,Partner,Closed Lost,11700.0,2025-07-29,2025-09-11,2025-Q3,false,true,44,0.0,11700.0,0.0
O00129,A0547,Account 0547,Mid-Market,Logistics,East,R007,Casey Rossi,Inbound,Closed Won,50400.0,2025-03-08,2025-04-23,2025-Q2,true,true,46,50400.0,0.0,0.0
O00130,A0058,Account 0058,SMB,Healthcare,Central,R009,Drew Mbeki,Inbound,Closed Lost,17800.0,2024-09-30,2024-10-24,2024-Q4,false,true,24,0.0,17800.0,0.0
O00131,A0064,Account 0064,SMB,Retail,Central,R011,Sky Haddad,Inbound,Closed Lost,3500.0,2024-07-27,2024-09-13,2024-Q3,false,true,48,0.0,3500.0,0.0
O00132,A0576,Account 0576,Enterprise,Financial Services,West,R017,Parker Schmidt,Partner,Closed Lost,204400.0,2025-10-24,2026-06-14,2026-Q2,false,true,233,0.0,204400.0,0.0
O00133,A0049,Account 0049,SMB,Logistics,Central,R015,Rowan Andersen,Inbound,Closed Lost,17400.0,2025-01-31,2025-03-12,2025-Q1,false,true,40,0.0,17400.0,0.0
O00134,A0566,Account 0566,SMB,Retail,West,R002,Jordan Patel,Event,Closed Lost,6000.0,2024-01-14,2024-02-13,2024-Q1,false,true,30,0.0,6000.0,0.0
O00135,A0454,Account 0454,SMB,Logistics,Central,R009,Drew Mbeki,Outbound,Closed Lost,13600.0,2025-10-10,2025-12-08,2025-Q4,false,true,59,0.0,13600.0,0.0
O00136,A0202,Account 0202,SMB,Retail,Central,R009,Drew Mbeki,Inbound,Closed Lost,5700.0,2024-10-28,2024-12-09,2024-Q4,false,true,42,0.0,5700.0,0.0
O00137,A0178,Account 0178,Enterprise,Energy,Central,R017,Parker Schmidt,Inbound,Closed Lost,217100.0,2025-01-21,2025-05-01,2025-Q2,false,true,100,0.0,217100.0,0.0
O00138,A0599,Account 0599,SMB,Financial Services,West,R011,Sky Haddad,Inbound,Closed Lost,10000.0,2024-01-06,2024-02-10,2024-Q1,false,true,35,0.0,10000.0,0.0
O00139,A0331,Account 0331,Mid-Market,Manufacturing,Central,R019,Blake Fischer,Outbound,Closed Lost,48400.0,2024-02-22,2024-05-15,2024-Q2,false,true,83,0.0,48400.0,0.0
O00140,A0326,Account 0326,Mid-Market,Education,Central,R016,Logan Reyes,Inbound,Closed Lost,50300.0,2024-08-13,2024-10-20,2024-Q4,false,true,68,0.0,50300.0,0.0
O00141,A0557,Account 0557,Enterprise,Retail,East,R020,Elliot Mori,Inbound,Closed Lost,150800.0,2024-04-04,2024-09-30,2024-Q3,false,true,179,0.0,150800.0,0.0
O00142,A0370,Account 0370,SMB,Technology,West,R011,Sky Haddad,Event,Closed Lost,11000.0,2024-08-11,2024-10-03,2024-Q4,false,true,53,0.0,11000.0,0.0
O00143,A0010,Account 0010,SMB,Healthcare,East,R005,Morgan Okafor,Partner,Closed Lost,9700.0,2025-11-15,2025-12-21,2025-Q4,false,true,36,0.0,9700.0,0.0
O00144,A0041,Account 0041,SMB,Education,West,R024,Wren Park,Outbound,Closed Lost,16700.0,2024-11-24,2025-01-01,2025-Q1,false,true,38,0.0,16700.0,0.0
O00145,A0554,Account 0554,Mid-Market,Logistics,Central,R007,Casey Rossi,Event,Closed Lost,69000.0,2024-01-26,2024-05-16,2024-Q2,false,true,111,0.0,69000.0,0.0
O00146,A0457,Account 0457,SMB,Energy,Central,R018,Sawyer Walsh,Outbound,Closed Won,16500.0,2024-02-14,2024-03-17,2024-Q1,true,true,32,16500.0,0.0,0.0
O00147,A0099,Account 0099,Mid-Market,Retail,West,R004,Cameron Cohen,Partner,Closed Won,18500.0,2025-07-04,2025-10-25,2025-Q4,true,true,113,18500.0,0.0,0.0
