rep_id,rep_name,fiscal_quarter,quota_amount,won_amount,closed_opps,won_opps,win_rate,quota_attainment,avg_won_cycle_days,hit_quota
R012,Devon Costa,2025-Q4,72000.0,66800.0,16,6,0.375,0.928,45.7,false
R010,Reese Dubois,2024-Q4,140000.0,128700.0,11,2,0.182,0.919,83.0,false
R014,Emerson Ibrahim,2024-Q2,140000.0,86700.0,13,3,0.231,0.619,87.7,false
R022,Shay Volkov,2024-Q3,60000.0,22100.0,18,3,0.167,0.368,44.7,false
R007,Casey Rossi,2024-Q1,140000.0,0.0,1,0,0.0,0.0,,false
R017,Parker Schmidt,2024-Q4,2321000.0,2054200.0,40,7,0.175,0.885,168.1,false
R021,Marlowe Silva,2025-Q4,134000.0,139200.0,23,11,0.478,1.039,34.3,true
R022,Shay Volkov,2025-Q2,97000.0,85300.0,22,7,0.318,0.879,37.3,false
R013,Hayden Novak,2024-Q1,140000.0,0.0,4,0,0.0,0.0,,false
R019,Blake Fischer,2024-Q3,140000.0,56600.0,8,2,0.25,0.404,88.0,false
R006,Taylor Larsson,2025-Q4,140000.0,104500.0,7,2,0.286,0.746,81.0,false
R010,Reese Dubois,2025-Q1,140000.0,57000.0,6,1,0.167,0.407,46.0,false
R020,Elliot Mori,2025-Q3,1567000.0,1622100.0,33,7,0.212,1.035,156.0,true
R009,Drew Mbeki,2025-Q4,60000.0,32100.0,24,3,0.125,0.535,42.3,false
R022,Shay Volkov,2024-Q4,80000.0,73200.0,20,7,0.35,0.915,37.6,false
R017,Parker Schmidt,2025-Q2,1205000.0,1277400.0,29,5,0.172,1.06,147.8,true
R023,Tatum Adeyemi,2025-Q3,240000.0,172800.0,11,3,0.273,0.72,69.7,false
R018,Sawyer Walsh,2024-Q2,69000.0,61200.0,10,5,0.5,0.887,29.6,false
R002,Jordan Patel,2024-Q1,60000.0,35300.0,19,6,0.316,0.588,32.8,false
R007,Casey Rossi,2024-Q2,140000.0,98900.0,12,2,0.167,0.706,77.0,false
R008,Quinn Kim,2025-Q4,102000.0,108500.0,25,10,0.4,1.064,41.2,true
R011,Sky Haddad,2025-Q3,78000.0,82600.0,22,8,0.364,1.059,41.5,true
R005,Morgan Okafor,2024-Q2,118000.0,57400.0,20,5,0.25,0.486,38.6,false
R019,Blake Fischer,2025-Q1,140000.0,143400.0,9,3,0.333,1.024,65.0,true
R004,Cameron Cohen,2024-Q1,140000.0,79300.0,3,1,0.333,0.566,74.0,false
R015,Rowan Andersen,2024-Q2,69000.0,72800.0,21,7,0.333,1.055,41.9,true
R010,Reese Dubois,2024-Q3,142000.0,141200.0,11,3,0.273,0.994,76.3,false
R016,Logan Reyes,2025-Q4,189000.0,164600.0,8,4,0.5,0.871,70.0,false
R003,Riley Garcia,2025-Q4,310000.0,142800.0,13,3,0.231,0.461,78.0,false
R014,Emerson Ibrahim,2024-Q1,140000.0,57800.0,2,1,0.5,0.413,51.0,false
R019,Blake Fischer,2024-Q4,210000.0,151500.0,7,3,0.429,0.721,81.7,false
R017,Parker Schmidt,2024-Q3,1910000.0,1964000.0,33,7,0.212,1.028,125.0,true
R010,Reese Dubois,2025-Q2,140000.0,91500.0,12,2,0.167,0.654,106.5,false
R001,Avery Nguyen,2025-Q3,144000.0,109900.0,12,2,0.167,0.763,103.0,false
R022,Shay Volkov,2025-Q1,74000.0,82000.0,18,8,0.444,1.108,39.8,true
R013,Hayden Novak,2024-Q2,140000.0,77100.0,9,1,0.111,0.551,74.0,false
R009,Drew Mbeki,2025-Q1,81000.0,69700.0,31,9,0.29,0.86,35.7,false
R001,Avery Nguyen,2024-Q2,140000.0,128000.0,13,3,0.231,0.914,80.7,false
R016,Logan Reyes,2025-Q1,140000.0,119500.0,12,2,0.167,0.854,89.5,false
R012,Devon Costa,2025-Q2,60000.0,51800.0,24,5,0.208,0.863,33.0,false
R021,Marlowe Silva,2024-Q3,121000.0,102100.0,24,9,0.375,0.844,35.7,false
R006,Taylor Larsson,2024-Q3,260000.0,194700.0,17,5,0.294,0.749,72.2,false
R013,Hayden Novak,2025-Q3,140000.0,112000.0,12,2,0.167,0.8,91.0,false
R008,Quinn Kim,2025-Q1,123000.0,85400.0,20,8,0.4,0.694,32.5,false
R019,Blake Fischer,2025-Q4,140000.0,0.0,5,0,0.0,0.0,,false
R003,Riley Garcia,2025-Q1,140000.0,50200.0,4,1,0.25,0.359,101.0,false
R002,Jordan Patel,2025-Q2,60000.0,35600.0,14,4,0.286,0.593,46.0,false
R015,Rowan Andersen,2025-Q1,78000.0,71000.0,23,5,0.217,0.91,30.4,false
R007,Casey Rossi,2025-Q1,236000.0,176600.0,11,3,0.273,0.748,90.3,false
R018,Sawyer Walsh,2025-Q1,86000.0,71600.0,22,7,0.318,0.833,32.1,false
R013,Hayden Novak,2024-Q4,143000.0,218600.0,18,5,0.278,1.529,75.6,true
R019,Blake Fischer,2024-Q2,214000.0,267300.0,12,4,0.333,1.249,76.5,true
R005,Morgan Okafor,2025-Q1,60000.0,23300.0,18,3,0.167,0.388,34.0,false
R001,Avery Nguyen,2025-Q4,140000.0,123200.0,7,3,0.429,0.88,77.7,false
R004,Cameron Cohen,2025-Q2,140000.0,221300.0,13,4,0.308,1.581,81.5,true
R014,Emerson Ibrahim,2025-Q2,140000.0,81700.0,8,2,0.25,0.584,66.0,false
R009,Drew Mbeki,2025-Q3,126000.0,103600.0,28,13,0.464,0.822,38.2,false
R005,Morgan Okafor,2024-Q4,64000.0,60800.0,26,6,0.231,0.95,39.0,false
R002,Jordan Patel,2024-Q3,60000.0,53100.0,18,5,0.278,0.885,31.0,false
R014,Emerson Ibrahim,2024-Q3,202000.0,187500.0,11,3,0.273,0.928,68.0,false
R004,Cameron Cohen,2024-Q3,203000.0,114700.0,15,2,0.133,0.565,80.0,false
R011,Sky Haddad,2025-Q4,60000.0,18700.0,18,3,0.167,0.312,47.0,false
R020,Elliot Mori,2025-Q4,798000.0,765300.0,21,3,0.143,0.959,167.3,false
R022,Shay Volkov,2024-Q2,67000.0,38000.0,20,4,0.2,0.567,33.8,false
R008,Quinn Kim,2025-Q3,123000.0,112600.0,21,8,0.381,0.915,45.1,false
R016,Logan Reyes,2025-Q3,305000.0,220500.0,10,4,0.4,0.723,66.0,false
R023,Tatum Adeyemi,2025-Q4,140000.0,0.0,9,0,0.0,0.0,,false
R015,Rowan Andersen,2024-Q4,76000.0,74100.0,16,6,0.375,0.975,44.8,false
R007,Casey Rossi,2024-Q4,190000.0,195000.0,13,5,0.385,1.026,80.8,true
R003,Riley Garcia,2025-Q3,140000.0,42900.0,8,1,0.125,0.306,86.0,false
R018,Sawyer Walsh,2024-Q4,60000.0,52000.0,16,5,0.313,0.867,38.2,false
R013,Hayden Novak,2025-Q1,140000.0,42800.0,11,1,0.091,0.306,118.0,false
R010,Reese Dubois,2024-Q1,140000.0,41200.0,1,1,1.0,0.294,54.0,false
R017,Parker Schmidt,2025-Q3,2391000.0,1781300.0,37,7,0.189,0.745,178.7,false
R020,Elliot Mori,2025-Q2,535000.0,557300.0,33,2,0.061,1.042,166.5,true
R024,Wren Park,2025-Q1,69000.0,84700.0,17,8,0.471,1.228,29.6,true
R011,Sky Haddad,2025-Q2,203000.0,101300.0,24,9,0.375,0.499,36.4,false
R023,Tatum Adeyemi,2025-Q2,189000.0,232800.0,18,5,0.278,1.232,86.4,true
R001,Avery Nguyen,2024-Q3,411000.0,170800.0,11,3,0.273,0.416,83.3,false
R006,Taylor Larsson,2024-Q2,160000.0,128300.0,16,3,0.188,0.802,78.7,false
R021,Marlowe Silva,2024-Q2,95000.0,84400.0,17,8,0.471,0.888,34.0,false
R020,Elliot Mori,2025-Q1,1584000.0,2288500.0,40,9,0.225,1.445,183.1,true
R023,Tatum Adeyemi,2025-Q1,140000.0,82700.0,10,2,0.2,0.591,54.0,false
R001,Avery Nguyen,2024-Q4,140000.0,56400.0,5,2,0.4,0.403,115.5,false
R011,Sky Haddad,2025-Q1,60000.0,33000.0,10,3,0.3,0.55,37.3,false
R019,Blake Fischer,2025-Q3,286000.0,191600.0,11,4,0.364,0.67,83.0,false
R024,Wren Park,2025-Q2,110000.0,86500.0,21,7,0.333,0.786,33.4,false
R021,Marlowe Silva,2024-Q1,71000.0,73500.0,11,7,0.636,1.035,41.3,true
R013,Hayden Novak,2025-Q4,140000.0,23800.0,5,1,0.2,0.17,60.0,false
R006,Taylor Larsson,2024-Q1,140000.0,0.0,2,0,0.0,0.0,,false
R024,Wren Park,2024-Q3,60000.0,31400.0,15,2,0.133,0.523,37.0,false
R015,Rowan Andersen,2025-Q4,60000.0,38400.0,9,3,0.333,0.64,38.7,false
R008,Quinn Kim,2024-Q2,60000.0,45600.0,21,5,0.238,0.76,42.0,false
R009,Drew Mbeki,2024-Q2,94000.0,88100.0,19,8,0.421,0.937,39.6,false
R022,Shay Volkov,2025-Q3,73000.0,52800.0,19,6,0.316,0.723,39.5,false
R011,Sky Haddad,2024-Q4,87000.0,80900.0,23,7,0.304,0.93,39.3,false
R005,Morgan Okafor,2025-Q4,60000.0,41100.0,14,4,0.286,0.685,34.3,false
R003,Riley Garcia,2024-Q2,140000.0,116100.0,9,3,0.333,0.829,83.7,false
R023,Tatum Adeyemi,2024-Q4,140000.0,47700.0,8,1,0.125,0.341,63.0,false
R007,Casey Rossi,2025-Q4,248000.0,171400.0,13,4,0.308,0.691,93.3,false
R018,Sawyer Walsh,2025-Q4,105000.0,71700.0,28,8,0.286,0.683,46.4,false
R001,Avery Nguyen,2025-Q1,140000.0,49700.0,5,1,0.2,0.355,102.0,false
R012,Devon Costa,2024-Q1,60000.0,19100.0,13,2,0.154,0.318,19.0,false
R020,Elliot Mori,2024-Q4,2015000.0,1374900.0,27,6,0.222,0.682,140.8,false
R016,Logan Reyes,2024-Q2,140000.0,42900.0,11,1,0.091,0.306,92.0,false
R012,Devon Costa,2024-Q4,157000.0,133700.0,26,12,0.462,0.852,34.3,false
R016,Logan Reyes,2024-Q3,140000.0,20900.0,13,1,0.077,0.149,97.0,false
R009,Drew Mbeki,2024-Q3,123000.0,112300.0,25,11,0.44,0.913,41.0,false
R021,Marlowe Silva,2025-Q1,63000.0,70000.0,22,8,0.364,1.111,32.9,true
R011,Sky Haddad,2024-Q1,60000.0,40700.0,12,3,0.25,0.678,20.7,false
R024,Wren Park,2024-Q2,60000.0,44500.0,14,5,0.357,0.742,32.8,false
R008,Quinn Kim,2024-Q3,109000.0,91000.0,25,10,0.4,0.835,39.8,false
R002,Jordan Patel,2025-Q3,97000.0,104900.0,16,9,0.563,1.081,33.6,true
R003,Riley Garcia,2024-Q3,140000.0,143700.0,10,3,0.3,1.026,90.3,true
R006,Taylor Larsson,2025-Q1,140000.0,98100.0,19,2,0.105,0.701,103.0,false
R010,Reese Dubois,2025-Q4,140000.0,82400.0,10,2,0.2,0.589,91.0,false
R004,Cameron Cohen,2025-Q3,140000.0,47000.0,9,1,0.111,0.336,102.0,false
R014,Emerson Ibrahim,2025-Q3,178000.0,183400.0,9,3,0.333,1.03,86.0,true
R023,Tatum Adeyemi,2024-Q1,140000.0,0.0,1,0,0.0,0.0,,false
R012,Devon Costa,2025-Q1,60000.0,59100.0,17,5,0.294,0.985,37.8,false
R017,Parker Schmidt,2025-Q4,4104000.0,2434400.0,37,9,0.243,0.593,154.3,false
R021,Marlowe Silva,2024-Q4,60000.0,48000.0,13,4,0.308,0.8,36.5,false
R009,Drew Mbeki,2025-Q2,73000.0,74400.0,24,6,0.25,1.019,30.8,true
R006,Taylor Larsson,2024-Q4,287000.0,222400.0,13,5,0.385,0.775,73.0,false
R008,Quinn Kim,2025-Q2,60000.0,42900.0,11,3,0.273,0.715,36.7,false
R016,Logan Reyes,2025-Q2,140000.0,124400.0,10,3,0.3,0.889,90.7,false
R003,Riley Garcia,2025-Q2,140000.0,26500.0,11,1,0.091,0.189,83.0,false
R001,Avery Nguyen,2024-Q1,140000.0,0.0,2,0,0.0,0.0,,false
R015,Rowan Andersen,2025-Q2,60000.0,24700.0,19,2,0.105,0.412,36.5,false
R013,Hayden Novak,2024-Q3,182000.0,157800.0,6,3,0.5,0.867,83.3,false
R017,Parker Schmidt,2024-Q2,472000.0,377400.0,11,2,0.182,0.8,97.0,false
R014,Emerson Ibrahim,2025-Q1,140000.0,89400.0,11,2,0.182,0.639,70.5,false
R005,Morgan Okafor,2025-Q2,60000.0,74600.0,20,7,0.35,1.243,46.6,true
R021,Marlowe Silva,2025-Q3,93000.0,105000.0,20,8,0.4,1.129,38.0,true
R018,Sawyer Walsh,2025-Q2,87000.0,86400.0,27,9,0.333,0.993,32.6,false
R007,Casey Rossi,2025-Q2,140000.0,117000.0,9,2,0.222,0.836,57.0,false
R002,Jordan Patel,2025-Q1,61000.0,67100.0,14,5,0.357,1.1,31.2,true
R006,Taylor Larsson,2025-Q3,354000.0,287200.0,14,5,0.357,0.811,87.6,false
R004,Cameron Cohen,2025-Q1,400000.0,216100.0,12,4,0.333,0.54,88.5,false
R003,Riley Garcia,2024-Q4,219000.0,229200.0,10,4,0.4,1.047,95.5,true
R020,Elliot Mori,2024-Q2,811000.0,752200.0,15,3,0.2,0.927,129.3,false
R015,Rowan Andersen,2025-Q3,74000.0,76100.0,30,8,0.267,1.028,29.9,true
R022,Shay Volkov,2025-Q4,107000.0,106600.0,23,8,0.348,0.996,34.5,false
R023,Tatum Adeyemi,2024-Q2,140000.0,27900.0,12,1,0.083,0.199,103.0,false
R012,Devon Costa,2024-Q3,63000.0,61300.0,17,5,0.294,0.973,45.2,false
R011,Sky Haddad,2024-Q2,60000.0,26400.0,15,2,0.133,0.44,33.5,false
R006,Taylor Larsson,2025-Q2,343000.0,289500.0,13,7,0.538,0.844,72.7,false
R024,Wren Park,2024-Q1,60000.0,27300.0,8,3,0.375,0.455,25.3,false
R009,Drew Mbeki,2024-Q4,71000.0,50300.0,21,5,0.238,0.708,34.8,false
R016,Logan Reyes,2024-Q4,140000.0,110800.0,17,3,0.176,0.791,81.7,false
R021,Marlowe Silva,2025-Q2,75000.0,66600.0,20,6,0.3,0.888,36.0,false
R018,Sawyer Walsh,2025-Q3,83000.0,81300.0,18,8,0.444,0.98,42.4,false
R008,Quinn Kim,2024-Q4,119000.0,90100.0,19,8,0.421,0.757,35.1,false
R005,Morgan Okafor,2025-Q3,80000.0,100900.0,24,8,0.333,1.261,43.5,true
R007,Casey Rossi,2025-Q3,140000.0,24000.0,8,1,0.125,0.171,85.0,false
